"student","id","section"
"Vsrqxheg, Puysfdomnih",188036,"BAS479 Section 004"
"Nszec, Ghumjz",925926,"BAS479 Section 004"
"Lwfkdb, Ulohgima",371729,"BAS479 Section 004"
"Iaxfmrgkznowsev, Ntrjcubhfvgdoxp",888232,"BAS479 Section 004"
"Uapqxeodnzkv, Hemtqlbfjswvxuz",599400,"BAS479 Section 004"
"Woumxp, Zrupjyhndaiom",288447,"BAS479 Section 004"
"Jpgszo, Znbhgtwludsom",832274,"BAS479 Section 004"
"Xfqphva, Ehkbsvfgdwax",961338,"BAS479 Section 004"
"Hzoswtiqycexbpn, Kirqtchp",807820,"BAS479 Section 004"
"Yztmknx, Irphlkeygnj",921760,"BAS479 Section 004"
"Cimlwdkrvunb, Gwvhjb",647283,"BAS479 Section 004"
"Xmnlrpv, Ojpdycwiagkbhl",540235,"BAS479 Section 004"
"Hiceapw, Sqtcovfay",860167,"BAS479 Section 004"
"Amoshknpe, Fpnyacq",395440,"BAS479 Section 004"
"Sxhvpyu, Zftxmwurnsjckqo",888437,"BAS479 Section 004"
"Dbaefltnxy, Mapqx",411059,"BAS479 Section 004"
"Uzdpwyvsqxjhbe, Mfxrauqyn",156957,"BAS479 Section 004"
"Vhwiejcpbsdqmfx, Ylmeaousdricz",654419,"BAS479 Section 004"
"Gkitamcowz, Qbtearwplux",258109,"BAS479 Section 004"
"Jmyzihsdgto, Fweail",152101,"BAS479 Section 004"
"Fqzltunw, Itfcevpdhub",869439,"BAS479 Section 004"
"Ftlzhmouyd, Esqnyghwdzvjbap",364186,"BAS479 Section 004"
"Tlwmnfbqkrhygxp, Bnmifdlzctsrxjg",194198,"BAS479 Section 004"
"Pucrl, Lnyrskvdgmzhxbw",314192,"BAS479 Section 004"
"Esrnlmufq, Blmpd",246977,"BAS479 Section 004"
"Kehstjl, Xtcpjmfwozli",442052,"BAS479 Section 004"
"Aexhdoipcqykfj, Iyqjwct",241415,"BAS479 Section 004"
"Emxsjtcypw, Srefuhpqniv",593126,"BAS479 Section 004"
